City,Region
MA'ALE GAMLA ,Tiberias 
MA'ALE GILBOA ,Afula 
MA'ALE HAHAMISHA ,Beit Shemesh 
MA'ALE IRON ,Afula 
MA'ALE LEVONA ,Ariel 
MA'ALE MIKHMAS ,Jerusalem 
MA'ALOT-TARSHIHA ,Acre 
MA'ANIT ,Hadera 
MA'AS ,Petah Tikva 
MA'BAROT ,Natanya 
MA'GALIM ,Beer Sheva 
MA'ON ,Jerusalem 
MA'OR ,Hadera 
MA'OZ HAYYIM ,Afula 
MA'YAN BARUKH ,Tzefat 
MA'YAN ZEVI ,Hadera 
MABBU'IM ,Beer Sheva 
MAGEN ,Beer Sheva 
MAGEN SHA'UL ,Afula 
MAGGAL ,Hadera 
MAGSHIMIM ,Petah Tikva 
MAHANAYIM ,Tzefat 
MAHANE BILDAD ,Beer Sheva 
MAHANE HILLA ,Rishon LeTsiyon 
MAHANE MIRYAM ,Ashkelon 
MAHANE TALI ,Beer Sheva 
MAHANE TEL NOF ,Rehovot 
MAHANE YAFA ,Beer Sheva 
MAHANE YATTIR ,Beer Sheva 
MAHANE YEHUDIT ,Afula 
MAHANE YOKHVED ,Eilat 
MAHSEYA ,Beit Shemesh 
MAJD AL-KURUM ,Acre 
MAJDAL SHAMS ,Tzefat 
MAKCHUL ,Beer Sheva 
MALKISHUA ,Afula 
MALKIYYA ,Tzefat 
MANOF ,Karmiel 
MANOT ,Acre 
MANSHIYYET ZABDA ,Afula 
MARGALIYYOT ,Tzefat 
MAS'ADE ,Tzefat 
MAS'UDIN AL-'AZAZME ,Beer Sheva 
MASH'ABBE SADE ,Beer Sheva 
MASH'EN ,Ashkelon 
MASKIYYOT ,Jerusalem 
MASLUL ,Beer Sheva 
MASSAD ,Tiberias 
MASSADA ,Tiberias 
MASSU'A ,Afula 
MASSUOT YIZHAQ ,Ashkelon 
MATTA ,Beit Shemesh 
MATTAN ,Petah Tikva 
MATTAT ,Acre 
MATTITYAHU ,Jerusalem 
MAVQI'IM ,Ashkelon 
MAZKERET BATYA ,Rehovot 
MAZLIAH ,Ramla 
MAZOR ,Petah Tikva 
MAZRA'A ,Acre 
MAZZUVA ,Acre 
ME AMMI ,Hadera 
ME'IR SHEFEYA ,Hadera 
ME'ONA ,Acre 
MEFALLESIM ,Ashkelon 
MEGADIM ,Hadera 
MEGIDDO ,Afula 
MEHOLA ,Afula 
MEISER ,Hadera 
MEKHORA ,Afula 
MELE'A ,Afula 
MELILOT ,Beer Sheva 
MENAHEMYA ,Tiberias 
MENNARA ,Tzefat 
MENUHA ,Ashkelon 
MERAV ,Afula 
MERHAV AM ,Beer Sheva 
MERHAVYA(MOSHAV) ,Afula 
MERHAVYA(QIBBUZ) ,Afula 
MERKAZ SHAPPIRA ,Ashkelon 
MEROM GOLAN ,Tzefat 
MERON ,Tzefat 
MESHAR ,Rehovot 
MESHHED ,Nof HaGalil 
MESILLAT ZIYYON ,Beit Shemesh 
MESILLOT ,Afula 
METAR ,Beer Sheva 
METAV ,Afula 
METULA ,Tzefat 
MEVASSERET ZIYYON ,Jerusalem 
MEVO BETAR ,Jerusalem 
MEVO DOTAN ,Hadera 
MEVO HAMMA ,Tiberias 
MEVO HORON ,Ramla 
MEVO MODI'IM ,Ramla 
MEVO'OT YAM ,Natanya 
MEVO'OT YERIHO ,Jerusalem 
MEZADOT YEHUDA ,Jerusalem 
MEZAR ,Tiberias 
MEZER ,Hadera 
MI'ELYA ,Acre 
MIDRAKH OZ ,Afula 
MIDRESHET BEN GURION ,Beer Sheva 
MIDRESHET RUPPIN ,Natanya 
MIGDAL ,Tiberias 
MIGDAL HAEMEQ ,Afula 
MIGDAL OZ ,Jerusalem 
MIGDALIM ,Ariel 
MIKHMANNIM ,Karmiel 
MIKHMORET ,Natanya 
MIQWE YISRA'EL ,Holon 
MISGAV AM ,Tzefat 
MISGAV DOV ,Rehovot 
MISHMAR AYYALON ,Ramla 
MISHMAR DAWID ,Ramla 
MISHMAR HAEMEQ ,Afula 
MISHMAR HANEGEV ,Beer Sheva 
MISHMAR HASHARON ,Natanya 
MISHMAR HASHIV'A ,Ramla 
MISHMAR HAYARDEN ,Tzefat 
MISHMAROT ,Hadera 
MISHMERET ,Natanya 
MITSPE ILAN ,Hadera 
MIVTAHIM ,Beer Sheva 
MIZPA ,Tiberias 
MIZPE AVIV ,Karmiel 
MIZPE NETOFA ,Afula 
MIZPE RAMON ,Beer Sheva 
MIZPE SHALEM ,Jerusalem 
MIZPE YERIHO ,Jerusalem 
MIZRA ,Afula 
MODI'IN ILLIT ,Jerusalem 
MODI'IN-MAKKABBIM-RE ,Ramla 
MOLEDET ,Afula 
MORAN ,Karmiel 
MORESHET ,Karmiel 
MOZA ILLIT ,Jerusalem 
MUGHAR ,Tiberias 
MUQEIBLE ,Afula 
NA'ALE ,Jerusalem 
NA'AN ,Ramla 
NA'ARAN ,Afula 
NA'URA ,Afula 
NAAMA ,Jerusalem 
NAHAL ESHBAL ,Karmiel 
NAHAL HEMDAT ,Afula 
NAHAL OZ ,Ashkelon 
NAHAL SHITTIM ,Eilat 
NAHALA ,Ashkelon 
NAHALAL ,Afula 
NAHALI'EL ,Jerusalem 
NAHAM ,Beit Shemesh 
NAHARIYYA ,Acre 
NAHEF ,Karmiel 
NAHSHOLIM ,Hadera 
NAHSHON ,Beit Shemesh 
NAHSHONIM ,Petah Tikva 
NASASRA ,Beer Sheva 
NATAF ,Beit Shemesh 
NATUR ,Tiberias 
NAVE ,Beer Sheva 
NAZARETH ,Nof HaGalil 
NE'OT GOLAN ,Tiberias 
NE'OT HAKIKKAR ,Beer Sheva 
NE'OT MORDEKHAY ,Tzefat 
NE'URIM ,Natanya 
NEGBA ,Ashkelon 
NEGOHOT ,Jerusalem 
NEHALIM ,Petah Tikva 
NEHORA ,Ashkelon 
NEHUSHA ,Beit Shemesh 
NEIN ,Afula 
NES AMMIM ,Acre 
NES HARIM ,Beit Shemesh 
NES ZIYYONA ,Rehovot 
NESHER ,Haifa 
NETA ,Ashkelon 
NETA'IM ,Rehovot 
NETANYA ,Natanya 
NETIV HAASARA ,Ashkelon 
NETIV HAGEDUD ,Afula 
NETIV HALAMED-HE ,Beit Shemesh 
NETIV HASHAYYARA ,Acre 
NETIVOT ,Beer Sheva 
NETU'A ,Acre 
NEVATIM ,Beer Sheva 
NEVE TSUF ,Jerusalem 
NEWE ATIV ,Tzefat 
NEWE AVOT ,Hadera 
NEWE DANIYYEL ,Jerusalem 
NEWE ETAN ,Afula 
NEWE HARIF ,Eilat 
NEWE ILAN ,Beit Shemesh 
NEWE MIKHA'EL ,Beit Shemesh 
NEWE MIVTAH ,Ashkelon 
NEWE SHALOM ,Beit Shemesh 
NEWE UR ,Afula 
NEWE YAM ,Hadera 
NEWE YAMIN ,Kfar Saba 
NEWE YARAQ ,Petah Tikva 
NEWE ZIV ,Acre 
NEWE ZOHAR ,Beer Sheva 
NEZER HAZZANI ,Rehovot 
NEZER SERENI ,Ramla 
NILI ,Ramla 
NIMROD ,Tiberias 
NIR AM ,Ashkelon 
NIR AQIVA ,Beer Sheva 
NIR BANIM ,Ashkelon 
NIR DAWID (TEL AMAL) ,Afula 
NIR ELIYYAHU ,Kfar Saba 
NIR EZYON ,Hadera 
NIR GALLIM ,Rehovot 
NIR HEN ,Ashkelon 
NIR MOSHE ,Beer Sheva 
NIR OZ ,Beer Sheva 
NIR YAFE ,Afula 
NIR YISRA'EL ,Ashkelon 
NIR YIZHAQ ,Beer Sheva 
NIR ZEVI ,Ramla 
NIRIM ,Beer Sheva 
NIRIT ,Rosh Haayin 
NIZZAN ,Ashkelon 
NIZZAN B ,Ashkelon 
NIZZANA (QEHILAT HIN ,Beer Sheva 
NIZZANE OZ ,Natanya 
NIZZANE SINAY ,Beer Sheva 
NIZZANIM ,Ashkelon 
NO'AM ,Ashkelon 
NOF AYYALON ,Ramla 
NOF HAGALIL ,Nof HaGalil 
NOFEKH ,Petah Tikva 
NOFIM ,Ariel 
NOFIT ,Haifa 
NOGAH ,Ashkelon 
NOQEDIM ,Jerusalem 
NORDIYYA ,Natanya 
NOV ,Tiberias 
NURIT ,Afula 
ODEM ,Tzefat 
OFAQIM ,Beer Sheva 
OFER ,Hadera 
OFRA ,Jerusalem 
OHAD ,Beer Sheva 
OLESH ,Natanya 
OMEN ,Afula 
OMER ,Beer Sheva 
OMEZ ,Natanya 
OR AQIVA ,Hadera 
OR HAGANUZ ,Tzefat 
OR HANER ,Ashkelon 
OR YEHUDA ,Ramat Gan 
ORA ,Jerusalem 
ORANIM ,Haifa 
ORANIT ,Rosh Haayin 
OROT ,Ashkelon 
ORTAL ,Tiberias 
OTNI'EL ,Jerusalem 
OZEM ,Ashkelon 
PA'AME TASHAZ ,Beer Sheva 
PALMAHIM ,Rehovot 
PARAN ,Eilat 
PARDES HANNA-KARKUR ,Hadera 
PARDESIYYA ,Natanya 
PAROD ,Tzefat 
PATTISH ,Beer Sheva 
PEDAYA ,Ramla 
PEDU'EL ,Ariel 
PEDUYIM ,Beer Sheva 
PELEKH ,Karmiel 
PENE HEVER ,Jerusalem 
PEQI'IN (BUQEI'A) ,Acre 
PEQI'IN HADASHA ,Acre 
PERAZON ,Afula 
PERI GAN ,Beer Sheva 
PESAGOT ,Jerusalem 
PETAH TIQWA ,Petah Tikva 
PETAHYA ,Ramla 
PEZA'EL ,Afula 
PORAT ,Natanya 
PORIYYA ILLIT ,Tiberias 
PORIYYA-KEFAR AVODA ,Tiberias 
PORIYYA-NEWE OVED ,Tiberias 
QABBO'A ,Beer Sheva 
QADDARIM ,Tiberias 
QADIMA-ZORAN ,Natanya 
QALANSAWE ,Natanya 
QALYA ,Jerusalem 
QARNE SHOMERON ,Ariel 
QAWA'IN ,Beer Sheva 
QAZIR ,Hadera 
QAZRIN ,Tiberias 
QEDAR ,Jerusalem 
QEDMA ,Ashkelon 
QEDUMIM ,Kfar Saba 
QELA ,Tiberias 
QELAHIM ,Beer Sheva 
QESARIYYA ,Hadera 
QESHET ,Tiberias 
QETURA ,Eilat 
QEVUZAT YAVNE ,Rehovot 
QIDMAT ZEVI ,Tiberias 
QIDRON ,Rehovot 
QIRYAT ANAVIM ,Beit Shemesh 
QIRYAT ARBA ,Jerusalem 
QIRYAT ATTA ,Kirayot 
QIRYAT BIALIK ,Kirayot 
QIRYAT EQRON ,Rehovot 
QIRYAT GAT ,Ashkelon 
QIRYAT MAL'AKHI ,Ashkelon 
QIRYAT MOTZKIN ,Kirayot 
QIRYAT NETAFIM ,Ariel 
QIRYAT ONO ,Ramat Gan 
QIRYAT SHELOMO ,Natanya 
QIRYAT SHEMONA ,Tzefat 
QIRYAT TIV'ON ,Haifa 
QIRYAT YAM ,Kirayot 
QIRYAT YE'ARIM ,Beit Shemesh 
QIRYAT YE'ARIM(INSTI ,Beit Shemesh 
QOMEMIYYUT ,Ashkelon 
QORANIT ,Karmiel 
QUDEIRAT AS-SANI ,Beer Sheva 
RA'ANANA ,Kfar Saba 
RAHAT ,Beer Sheva 
RAM-ON ,Afula 
RAMAT DAWID ,Afula 
RAMAT GAN ,Ramat Gan 
RAMAT HAKOVESH ,Kfar Saba 
RAMAT HASHARON ,Herzliya 
RAMAT HASHOFET ,Afula 
RAMAT MAGSHIMIM ,Tiberias 
RAMAT RAHEL ,Jerusalem 
RAMAT RAZI'EL ,Beit Shemesh 
RAMAT YISHAY ,Afula 
RAMAT YOHANAN ,Kirayot 
RAMAT ZEVI ,Afula 
RAME ,Karmiel 
RAMLA ,Ramla 
RAMOT ,Tiberias 
RAMOT HASHAVIM ,Kfar Saba 
RAMOT ME'IR ,Ramla 
RAMOT MENASHE ,Afula 
RAMOT NAFTALI ,Tzefat 
RANNEN ,Beer Sheva 
RAQEFET ,Karmiel 
RAS AL-EIN ,Karmiel 
RAS ALI ,Haifa 
RAVID ,Tiberias 
RE'IM ,Beer Sheva 
REGAVIM ,Hadera 
REGBA ,Acre 
REHAN ,Hadera 
REHELIM ,Ariel 
REHOV ,Afula 
REHOVOT ,Rehovot 
REIHANIYYE ,Tzefat 
REINE ,Nof HaGalil 
REKHASIM ,Kirayot 
RESHAFIM ,Afula 
RETAMIM ,Beer Sheva 
REVADIM ,Ashkelon 
REVAVA ,Ariel 
REVIVIM ,Beer Sheva 
REWAHA ,Ashkelon 
REWAYA ,Afula 
RIMMONIM ,Jerusalem 
RINNATYA ,Petah Tikva 
RISHON LEZIYYON ,Rishon LeTsiyon 
RISHPON ,Natanya 
RO'I ,Afula 
ROSH HAAYIN ,Rosh Haayin 
ROSH PINNA ,Tzefat 
ROSH ZURIM ,Jerusalem 
ROTEM ,Jerusalem 
RUAH MIDBAR ,Beer Sheva 
RUHAMA ,Ashkelon 
RUMAT HEIB ,Nof HaGalil 
RUMMANE ,Nof HaGalil 
SA'AD ,Beer Sheva 
SA'AR ,Acre 
SA'WA ,Beer Sheva 
SAJUR ,Karmiel 
SAKHNIN ,Acre 
SAL'IT ,Petah Tikva 
SALLAMA ,Karmiel 
SAMAR ,Eilat 
SANDALA ,Afula 
SAPPIR ,Eilat 
SARID ,Afula 
SASA ,Tzefat 
SAVYON ,Petah Tikva 
SAWA'ID (KAMANE) ,Karmiel 
SAWA'ID(HAMRIYYE) ,Acre 
SAYYID ,Beer Sheva 
SEDE AVRAHAM ,Beer Sheva 
SEDE BOQER ,Beer Sheva 
SEDE DAWID ,Ashkelon 
SEDE ELI'EZER ,Tzefat 
SEDE ELIYYAHU ,Afula 
SEDE HEMED ,Kfar Saba 
SEDE ILAN ,Tiberias 
SEDE MOSHE ,Ashkelon 
SEDE NAHUM ,Afula 
SEDE NEHEMYA ,Tzefat 
SEDE NIZZAN ,Beer Sheva 
SEDE TERUMOT ,Afula 
SEDE UZZIYYAHU ,Ashkelon 
SEDE WARBURG ,Kfar Saba 
SEDE YA'AQOV ,Afula 
SEDE YIZHAQ ,Hadera 
SEDE YO'AV ,Ashkelon 
SEDE ZEVI ,Beer Sheva 
SEDEROT ,Ashkelon 
SEDOT MIKHA ,Beit Shemesh 
SEDOT YAM ,Hadera 
SEGEV-SHALOM ,Beer Sheva 
SEGULA ,Ashkelon 
SENIR ,Tzefat 
SHA'AB ,Acre 
SHA'AL ,Tiberias 
SHA'ALVIM ,Ramla 
SHA'AR EFRAYIM ,Natanya 
SHA'AR HAAMAQIM ,Haifa 
SHA'AR HAGOLAN ,Tiberias 
SHA'AR MENASHE ,Hadera 
SHA'ARE TIQWA ,Rosh Haayin 
SHADMOT DEVORA ,Tiberias 
SHADMOT MEHOLA ,Afula 
SHAFIR ,Ashkelon 
SHAHAR ,Ashkelon 
SHAHARUT ,Eilat 
SHALVA BAMIDBAR ,Beer Sheva 
SHALWA ,Ashkelon 
SHAMERAT ,Acre 
SHAMIR ,Tzefat 
SHANI ,Beer Sheva 
SHAQED ,Hadera 
SHARONA ,Tiberias 
SHARSHERET ,Beer Sheva 
SHAVE DAROM ,Beer Sheva 
SHAVE SHOMERON ,Natanya 
SHAVE ZIYYON ,Acre 
SHE'AR YASHUV ,Tzefat 
SHEDEMA ,Rehovot 
SHEFAR'AM ,Nof HaGalil 
SHEFAYIM ,Natanya 
SHEFER ,Tzefat 
SHEIKH DANNUN ,Acre 
SHEKHANYA ,Karmiel 
SHELOMI ,Acre 
SHELUHOT ,Afula 
SHEQEF ,Ashkelon 
SHETULA ,Acre 
SHETULIM ,Ashkelon 
SHEZAF ,Beer Sheva 
SHEZOR ,Tzefat 
SHIBBOLIM ,Beer Sheva 
SHIBLI ,Afula 
SHILAT ,Ramla 
SHILO ,Jerusalem 
SHIM'A ,Jerusalem 
SHIMSHIT ,Afula 
SHIZZAFON ,Eilat 
SHLOMIT ,Beer Sheva 
SHO'EVA ,Beit Shemesh 
SHOHAM ,Ramla 
SHOMERA ,Acre 
SHOMERIYYA ,Beer Sheva 
SHOQEDA ,Beer Sheva 
SHORASHIM ,Karmiel 
SHORESH ,Beit Shemesh 
SHOSHANNAT HAAMAQIM ,Natanya 
SHOSHANNAT HAAMAQIM( ,Natanya 
SHOVAL ,Beer Sheva 
SHUVA ,Beer Sheva 
SITRIYYA ,Ramla 
SUFA ,Beer Sheva 
SULAM ,Afula 
SUSEYA ,Jerusalem 
TA'OZ ,Beit Shemesh 
TAL SHAHAR ,Beit Shemesh 
TAL-EL ,Karmiel 
TALME BILU ,Beer Sheva 
TALME EL'AZAR ,Hadera 
TALME ELIYYAHU ,Beer Sheva 
TALME YAFE ,Ashkelon 
TALME YEHI'EL ,Ashkelon 
TALME YOSEF ,Beer Sheva 
TALMON ,Jerusalem 
TAMRA ,Acre 
TAMRA (YIZRE'EL) ,Afula 
TARABIN AS-SANI ,Beer Sheva 
TARABIN AS-SANI ,Beer Sheva 
TARUM ,Beit Shemesh 
TAYIBE ,Natanya 
TAYIBE(BAEMEQ) ,Afula 
TE'ASHUR ,Beer Sheva 
TEFAHOT ,Tiberias 
TEL ADASHIM ,Afula 
TEL AVIV - YAFO ,Tel Aviv
TEL MOND ,Natanya 
TEL QAZIR ,Tiberias 
TEL SHEVA ,Beer Sheva 
TEL TE'OMIM ,Afula 
TEL YIZHAQ ,Natanya 
TEL YOSEF ,Afula 
TELALIM ,Beer Sheva 
TELAMIM ,Ashkelon 
TELEM ,Jerusalem 
TENE ,Beer Sheva 
TENUVOT ,Natanya 
TEQOA ,Jerusalem 
TEQUMA ,Beer Sheva 
TIBERIAS ,Tiberias 
TIDHAR ,Beer Sheva 
TIFRAH ,Beer Sheva 
TIMMORIM ,Ashkelon 
TIMRAT ,Afula 
TIRAT KARMEL ,Haifa 
TIRAT YEHUDA ,Petah Tikva 
TIRAT ZEVI ,Afula 
TIRE ,Natanya 
TIROSH ,Beit Shemesh 
TOMER ,Afula 
TUBA-ZANGARIYYE ,Tzefat 
TUR'AN ,Nof HaGalil 
TUSHIYYA ,Beer Sheva 
TUVAL ,Karmiel 
UDIM ,Natanya 
UMM AL-FAHM ,Afula 
UMM AL-QUTUF ,Hadera 
UMM BATIN ,Beer Sheva 
UQBI (BANU UQBA) ,Beer Sheva 
URIM ,Beer Sheva 
USHA ,Kirayot 
UZA ,Ashkelon 
UZEIR ,Nof HaGalil 
WARDON ,Ashkelon 
WERED YERIHO ,Jerusalem 
YA'AD ,Karmiel 
YA'ARA ,Acre 
YA'EL ,Afula 
YAD BINYAMIN ,Rehovot 
YAD HANNA ,Natanya 
YAD HASHEMONA ,Jerusalem 
YAD MORDEKHAY ,Ashkelon 
YAD NATAN ,Ashkelon 
YAD RAMBAM ,Ramla 
YAFI ,Nof HaGalil 
YAFIT ,Afula 
YAGEL ,Ramla 
YAGUR ,Haifa 
YAHEL ,Eilat 
YAKHINI ,Ashkelon 
YANUH-JAT ,Acre 
YANUV ,Natanya 
YAQIR ,Ariel 
YAQUM ,Natanya 
YARDENA ,Afula 
YARHIV ,Kfar Saba 
YARQONA ,Kfar Saba 
YAS'UR ,Acre 
YASHRESH ,Ramla 
YATED ,Beer Sheva 
YAVNE ,Rehovot 
YAVNE'EL ,Tiberias 
YAZIZ ,Ramla 
YE'AF ,Natanya 
YEDIDA ,Jerusalem 
YEDIDYA ,Natanya 
YEHI'AM ,Acre 
YEHUD-MONOSON ,Petah Tikva 
YEROHAM ,Beer Sheva 
YESHA ,Beer Sheva 
YESODOT ,Rehovot 
YESUD HAMA'ALA ,Tzefat 
YEVUL ,Beer Sheva 
YIF'AT ,Afula 
YIFTAH ,Tzefat 
YINNON ,Ashkelon 
YIR'ON ,Tzefat 
YIRKA ,Acre 
YISH'I ,Beit Shemesh 
YITAV ,Afula 
YIZHAR ,Ariel 
YIZRE'EL ,Afula 
YODEFAT ,Karmiel 
YONATAN ,Tiberias 
YOQNE'AM ILLIT ,Afula 
YOQNE'AM(MOSHAVA) ,Afula 
YOSHIVYA ,Beer Sheva 
YOTVATA ,Eilat 
YUVAL ,Tzefat 
YUVALIM ,Karmiel 
ZABARGA ,Beer Sheva 
ZAFRIRIM ,Beit Shemesh 
ZAFRIYYA ,Ramla 
ZANOAH ,Beit Shemesh 
ZARZIR ,Afula 
ZAVDI'EL ,Ashkelon 
ZE'ELIM ,Beer Sheva 
ZEFAT ,Tzefat 
ZEKHARYA ,Beit Shemesh 
ZELAFON ,Beit Shemesh 
ZEMER ,Natanya 
ZERAHYA ,Ashkelon 
ZERU'A ,Beer Sheva 
ZERUFA ,Hadera 
ZETAN ,Ramla 
ZIKHRON YA'AQOV ,Hadera 
ZIMRAT ,Beer Sheva 
ZIPPORI ,Afula 
ZIQIM ,Ashkelon 
ZIV'ON ,Tzefat 
ZOFAR ,Eilat 
ZOFIT ,Kfar Saba 
ZOFIYYA ,Rehovot 
ZOHAR ,Beer Sheva 
ZOHAR ,Ashkelon 
ZOR'A ,Beit Shemesh 
ZOVA ,Beit Shemesh 
ZUFIN ,Petah Tikva 
ZUR HADASSA ,Beit Shemesh 
ZUR MOSHE ,Natanya 
ZUR NATAN ,Kfar Saba 
ZUR YIZHAQ ,Kfar Saba 
ZURI'EL ,Acre 
ZURIT ,Karmiel 
ZVIYYA ,Karmiel 
